merchant_id,merchant_name,merchant_tier,cuisine,city,behavior_class,bias_mean,bias_std,has_iot_beacon,avg_daily_orders,merchant_skill,predicted_behavior,mean_residual,std_residual,clean_count,cluster_id
M0000,Healthy Delhi #0 (LC),large_chain,Healthy,Delhi,accurate_marker,0.099,0.147,True,154,0.9796,late_marker,1.3922192513368985,4.699896028175579,374,2
M0001,Indian Mumbai #1 (LC),large_chain,Indian,Mumbai,accurate_marker,-0.444,0.317,False,81,0.8409,accurate_marker,-0.6498347107438014,1.8774796862953778,121,0
M0002,Biryani Mumbai #2 (LC),large_chain,Biryani,Mumbai,accurate_marker,-0.068,0.187,False,121,0.7733,accurate_marker,-0.6328658536585365,2.542089079845516,164,2
M0003,Biryani Jaipur #3 (LC),large_chain,Biryani,Jaipur,early_marker,-2.454,0.491,False,82,1.18,early_marker,-4.3455200000000005,5.5696674852969625,125,2
M0004,Chinese Pune #4 (LC),large_chain,Chinese,Pune,early_marker,-1.644,0.582,True,169,0.7988,early_marker,-1.686945945945946,4.537805735306347,370,2
M0005,Chinese Pune #5 (LC),large_chain,Chinese,Pune,early_marker,-2.762,0.317,False,115,0.8411,early_marker,-2.5274074074074075,2.2374535091614915,162,2
M0006,Chinese Chennai #6 (LC),large_chain,Chinese,Chennai,early_marker,-2.581,0.316,False,123,1.2197,early_marker,-2.7563005780346823,0.9201846135863495,173,2
M0007,Burger Ahmedabad #7 (LC),large_chain,Burger,Ahmedabad,late_marker,1.81,0.437,True,119,1.1723,late_marker,2.4240716612377846,4.08219320234272,307,2
M0008,Pizza Chennai #8 (LC),large_chain,Pizza,Chennai,accurate_marker,0.465,0.282,True,108,1.1511,accurate_marker,-0.7904761904761903,4.29109849502384,231,2
M0009,Healthy Bangalore #9 (LC),large_chain,Healthy,Bangalore,accurate_marker,-0.301,0.102,False,160,1.1057,accurate_marker,0.15069651741293527,2.3844470034869323,201,2
M0010,Burger Kolkata #10 (LC),large_chain,Burger,Kolkata,late_marker,3.779,0.94,False,91,0.9154,late_marker,3.983098591549296,1.4170948121148512,142,1
M0011,Biryani Bangalore #11 (LC),large_chain,Biryani,Bangalore,accurate_marker,0.23,0.291,False,144,0.9415,accurate_marker,-0.6701515151515152,3.5966992026845395,198,2
M0012,Mughlai Jaipur #12 (LC),large_chain,Mughlai,Jaipur,accurate_marker,-0.264,0.177,True,158,0.9638,early_marker,-4.562970297029703,6.965728731682245,404,2
M0013,Indian Bangalore #13 (LC),large_chain,Indian,Bangalore,early_marker,-2.409,0.457,False,173,0.8197,early_marker,-2.5846376811594203,1.3439413728664804,276,2
M0014,Pizza Hyderabad #14 (LC),large_chain,Pizza,Hyderabad,early_marker,-1.643,0.599,False,107,1.2148,early_marker,-1.6763414634146339,1.0139112292735122,164,0
M0015,Burger Kolkata #15 (LC),large_chain,Burger,Kolkata,late_marker,4.313,0.431,False,154,0.9122,late_marker,4.437317073170731,1.501204997990958,246,1
M0016,Chinese Bangalore #16 (LC),large_chain,Chinese,Bangalore,late_marker,2.452,0.753,True,156,1.1804,early_marker,-2.565121293800539,7.665133744631328,371,2
M0017,Pizza Bangalore #17 (LC),large_chain,Pizza,Bangalore,accurate_marker,-0.278,0.136,True,158,0.8341,accurate_marker,0.15225714285714276,3.910876947824276,350,2
M0018,Pizza Mumbai #18 (LC),large_chain,Pizza,Mumbai,accurate_marker,-0.435,0.176,True,118,0.9986,early_marker,-1.3384172661870504,4.476902335948528,278,2
M0019,Biryani Mumbai #19 (LC),large_chain,Biryani,Mumbai,early_marker,-2.476,0.551,True,180,0.9225,early_marker,-6.848329466357309,7.079182779864802,431,2
M0020,Burger Pune #20 (LC),large_chain,Burger,Pune,accurate_marker,-0.052,0.266,False,134,1.1308,accurate_marker,0.07020942408376961,1.8700787931937046,191,2
M0021,South_Indian Mumbai #21 (LC),large_chain,South_Indian,Mumbai,accurate_marker,0.132,0.29,False,191,1.1492,accurate_marker,-0.20482517482517493,2.0396024219205953,286,2
